,Initial,Final,Start,End
47,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
48,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
49,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
50,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
51,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
52,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
53,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
54,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
55,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
56,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
57,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
58,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
59,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
60,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
61,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
62,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
63,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
64,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
65,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
66,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
67,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
68,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
69,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
70,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
71,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
72,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
73,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
74,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
75,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
76,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
77,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
78,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
79,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
80,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
81,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
82,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
83,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
84,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
85,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
86,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
87,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
88,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
89,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
90,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
91,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
92,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
93,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
94,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
95,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
96,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
97,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
98,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
99,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
100,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
101,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
102,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
103,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
104,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
105,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
106,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
107,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
108,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
109,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
110,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
111,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
112,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
113,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
114,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
115,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
116,,,2023-06-07 15:24:53.184650,2023-06-07 15:24:53.184650
